Time_s,IR,Red,BPM,SpO2,Movement
0,109015,143107,75,NaN,0
0.041,109007,143091,76.383855608686,NaN,0.00426373271400707
0.081,109006,143072,76.9374184209516,NaN,0.0154369482026731
0.121,108976,143059,75.1783008683584,NaN,0.0188542329846756
0.161,108963,143058,74.543701583633,NaN,0.0190507921629877
0.201,108947,143072,74.8146760288709,NaN,0.0103031971904342
0.241,108956,143047,75.0720024772954,NaN,0.00541530102852022
0.281,108918,143020,74.3784127791611,NaN,0.00375055944720147
0.321,108906,143015,74.3813236083005,NaN,0.00446183273498464
0.361,108924,143057,74.131138900146,NaN,0.00739306832506188
0.401,108941,143073,73.1346166737213,NaN,0.0132129483669285
0.441,108974,143089,74.8193268671055,NaN,0.00473406236075813
0.481,108986,143107,73.9919753280157,NaN,0.002197265625
0.521,109008,143089,75.1288673502292,NaN,0.003662109375
0.561,108990,143054,73.4495948607372,NaN,0.00389096129162823
0.601,108980,143045,73.633884471778,NaN,0.00179405987020252
0.641,108959,143006,72.429350852946,NaN,0.00163774510070785
0.681,108957,143035,72.2527213117689,NaN,0.00689670258389919
0.721,108941,143065,73.7582358765048,NaN,0.0021143198334581
0.761,108957,143080,74.4203618537651,NaN,0.00409254263042974
0.801,108971,143086,73.1219020984594,NaN,0.00215619161775582
0.841,108977,143098,73.5233748591009,NaN,0.0107116264494533
0.881,108989,143126,72.8757472469623,NaN,0.0226801253173703
0.921,109012,143128,74.2689634242616,NaN,0.0174060451968076
0.961,109019,143126,72.6505407133485,NaN,0.00530970780540321
1.001,108987,143059,73.8897167449769,NaN,0.00545368845304899
1.041,108947,143038,72.6542148183288,NaN,0.00375849714803239
1.081,108935,143018,73.6072110285522,NaN,0.00631470564276248
1.121,108931,143026,72.6052418556684,NaN,0.00551347157745909
1.161,108934,143032,71.9678483089633,NaN,0.0117111181203237
1.201,108947,143048,71.3798209030168,NaN,0.00929659802961903
1.241,108956,143066,73.0653136393275,NaN,0.0297260636276512
1.281,108962,143069,72.2818571679972,NaN,0.0169655777862224
1.321,108970,143063,72.7940597515979,NaN,0.0484002246788422
1.361,108970,143076,71.3119918619471,NaN,0.00834732470570252
1.401,108968,143099,70.9162893653202,NaN,0.00893034236238861
1.441,108998,143112,72.2819489606396,NaN,0.0219523017701797
1.481,109001,143130,71.8250202637597,NaN,0.0153323422540113
1.521,109018,143123,70.3700826929764,NaN,0.0104068073661851
1.561,109020,143104,70.7121493045048,NaN,0.0125844960633397
1.601,109018,143083,71.7159178355059,NaN,0.011987777048038
1.641,108989,143083,72.5399098467662,NaN,0.00890695134128647
1.681,108983,143058,71.6084364104725,NaN,0.0302990220771326
1.721,108935,143032,70.995484957637,NaN,0.0284222052388774
1.761,108900,143039,72.2278150596334,NaN,0.00804183061132842
1.801,108922,143057,71.7426524407825,NaN,0.014788152071199
1.841,108949,143077,71.8199370146371,NaN,0.035568364951986
1.881,108958,143105,70.8699821720947,NaN,0.0357130254795615
1.921,108999,143119,70.1075507740804,NaN,0.0605645922918461
1.961,108995,143121,71.6416189395621,NaN,0.0330501848732168
2.001,109002,143096,72.753743585596,NaN,0.0778257360269781
2.041,108996,143071,71.9805129904123,NaN,0.0215065581499465
2.081,108968,143020,73.0598713468296,NaN,0.0405802553695081
2.121,108949,143004,74.1279148978389,NaN,0.017002427096172
2.161,108927,142988,74.9007891619284,NaN,0.0368886708925948
2.201,108934,143025,75.5693500744353,NaN,0.0514951555140127
2.241,108928,143037,75.812296917009,NaN,0.0075090607906395
2.281,108941,143051,74.6627299596307,NaN,0.022610374570947
2.321,108965,143059,74.1707672410368,NaN,0.0140184347851129
2.361,108975,143073,74.2098265417917,NaN,0.00792235387675193
2.401,108973,143060,72.8441564533156,NaN,0.00718454051248152
2.441,108941,143027,74.6217329040302,NaN,0.02258531713277
2.481,108922,143026,75.6571712142151,NaN,0.024635228700035
2.521,108931,143020,74.6631051664046,NaN,0.0280038981448979
2.561,108957,143033,75.0469368849023,NaN,0.0275533003559311
2.601,108959,143008,75.3173500588705,NaN,0.0258627787306282
2.641,108945,143033,76.4214673594438,NaN,0.0177451778900181
2.681,108954,143018,75.7482028617364,NaN,0.0221159606399282
2.721,108926,143022,76.4200669008287,NaN,0.0218734195683268
2.761,108927,143029,75.3600343840935,NaN,0.0114875882382994
2.801,108943,143040,74.3145555014979,NaN,0.0127445147813849
2.841,108955,143045,75.0751456700645,NaN,0.0111692668297831
2.881,108963,143063,75.5290570975419,NaN,0.0209804742955506
2.921,108975,143077,74.7501948780149,NaN,0.0104838430437421
2.961,108987,143102,75.1477737809322,NaN,0.0195144581136646
3.001,108983,143103,74.5320358066504,87.4677175624272,0.00529284262418916
3.041,109004,143059,75.6259294970726,87.467703653624,0.0134676254050784
3.081,108950,143004,78.7196538033654,87.4676874852172,0.00423568153635192
