Time_s,IR,Red,BPM,SpO2,Movement
0,108967,143235,75,NaN,0
0.04,108976,143236,76.1483691375563,NaN,0.0205673081362376
0.08,108986,143237,75.7845763454659,NaN,0.00922257166383013
0.12,108973,143231,76.1589129068019,NaN,0.0108882339457899
0.16,108926,143174,76.234842635796,NaN,0.0337700409903149
0.2,108879,143149,76.8438766726032,NaN,0.0270070738532788
0.24,108887,143189,76.7846916055429,NaN,0.015691615199435
0.28,108919,143212,77.5959229282364,NaN,0.0195647905367668
0.32,108945,143236,77.1789835042788,NaN,0.00758016342590821
0.36,108965,143231,78.462990050375,NaN,0.0266258829892737
0.4,108968,143240,76.8520340278076,NaN,0.0158972857383786
0.44,108965,143227,78.7209177502935,NaN,0.0398525452723544
0.48,108967,143200,78.9546174096046,NaN,0.0574187401155858
0.52,108967,143203,78.9250144454088,NaN,0.0217518199290784
0.56,108971,143199,77.8009208362109,NaN,0.0222958008922478
0.6,108977,143210,79.1352899099376,NaN,0.0267899146646733
0.64,108985,143228,79.5071587026132,NaN,0.0195266718267137
0.68,109000,143227,79.0565751622317,NaN,0.0372840384809862
0.72,108988,143215,78.4504454970393,NaN,0.0342824209425349
0.76,108965,143199,78.0987146167221,NaN,0.0113387485544269
0.8,108912,143178,78.5105659154357,NaN,0.0381000199325389
0.84,108916,143199,79.0051142781519,NaN,0.0334080375571387
0.88,108937,143223,79.9262947414396,NaN,0.0190398384847121
0.92,108969,143244,78.731390049617,NaN,0.0129048586781275
0.96,108979,143248,79.0118720531685,NaN,0.00915445959924447
1,108992,143252,78.7809448130604,NaN,0.0128539517393439
1.04,108991,143239,78.0675002914625,NaN,0.0245188182261011
1.08,108989,143230,79.0743399689945,NaN,0.0108361040142442
1.12,108982,143225,79.7183047675948,NaN,0.0342615509603191
1.16,108978,143219,79.1132237283419,NaN,0.023386582060211
1.2,108982,143235,78.6700949422358,NaN,0.0295016444119689
1.24,108991,143253,78.7766214597787,NaN,0.0486287433193461
1.28,109000,143256,78.1293065772899,NaN,0.0214538357166164
1.32,109000,143240,77.3027597766252,NaN,0.0160947751209468
1.36,108965,143198,77.2967512552029,NaN,0.0268343755942167
1.4,108899,143188,76.7472521873449,NaN,0.0609359545389461
1.44,108906,143212,76.1694936723451,NaN,0.0109264863284181
1.48,108940,143233,76.8283070640542,NaN,0.0115367747565534
1.52,108971,143250,78.0708105806992,NaN,0.038581171495638
1.56,108982,143249,76.7185858057007,NaN,0.0678926063309937
1.6,108997,143231,78.229434573005,NaN,0.0578747182554963
1.64,108979,143210,78.0670906813656,NaN,0.0482151465364338
1.68,108966,143186,77.0857736990494,NaN,0.035257828512765
1.72,108956,143185,77.9743241971381,NaN,0.024746274879714
1.76,108952,143177,78.2452479717578,NaN,0.0336320880098543
1.8,108919,143172,77.6045172427864,NaN,0.0554392776634312
1.84,108955,143160,77.8205160198278,NaN,0.0649299324626798
1.88,108953,143156,76.375394532435,NaN,0.0592960233966454
1.92,108941,143122,75.3699262023899,NaN,0.0302271335022354
1.96,108884,143075,76.6954535787685,NaN,0.0398697413023322
2,108846,143068,75.2502184530194,NaN,0.00321116856395652
2.04,108863,143079,76.1696085545442,NaN,0.014155946303051
2.08,108887,143101,76.8247592841338,NaN,0.0263094800362267
2.12,108909,143107,77.4517179890051,NaN,0.0443537067313631
2.16,108937,143150,77.8177805582705,NaN,0.0476706061080258
2.2,108949,143130,78.9688721172029,NaN,0.0299537763529735
2.24,108950,143131,77.9610474228878,NaN,0.0101809860654263
2.28,108957,143134,79.6302929277512,NaN,0.0267888021959867
2.32,108939,143135,79.3473957169634,NaN,0.0374960579389609
2.36,108938,143134,77.8203396299176,NaN,0.060314100175097
2.4,108952,143149,79.5998020584933,NaN,0.0391547068469146
2.44,108966,143146,78.3728998407116,NaN,0.0443221150500213
2.48,108969,143149,80.0652806244843,NaN,0.0191693149340367
2.52,108960,143130,78.6437790961267,NaN,0.0226130105808156
2.56,108836,143095,80.2634002145989,NaN,0.0381937701233187
2.6,108904,143080,81.2373261059234,NaN,0.0333508961821652
2.64,108900,143110,79.8511062746071,NaN,0.0340626483879007
2.68,108929,143128,78.8065224605015,NaN,0.041521853885974
2.72,108957,143149,78.5122689765817,NaN,0.017433418589299
2.76,108974,143163,78.8589104991042,NaN,0.0200016593244766
2.8,108983,143162,79.6430612011748,NaN,0.026232339276776
2.84,108982,143170,79.7066716487746,NaN,0.0324936405709066
2.88,108963,143164,79.0615767549693,NaN,0.0263581437036441
2.92,108962,143158,83.2333621732825,NaN,0.019248440766042
2.96,108954,143150,83.0598178280124,NaN,0.0297581284261625
3,108968,143144,83.1297148229061,88.1931253356549,0.0324054722485699
3.04,108966,143128,82.3338395213034,88.1930829774003,0.0249800125330946
3.08,108978,143126,82.5821495416099,88.193003949107,0.021066945317192
3.12,108956,143093,83.7342700767349,88.1928988116535,0.00471513865132519
3.16,108913,143071,82.4075974415329,88.1927821748403,0.0115005524544081
3.2,108893,143079,83.6609360702889,88.1926681694079,0.0147498119794856
3.24,108915,143105,82.4164502150826,88.1925403655046,0.0104096707057265
3.28,108944,143113,81.4951685415969,88.1923776338059,0.0208550975285666
3.32,108964,143135,80.4515756547505,88.1921928792565,0.015380859375
3.36,108970,143145,79.4039199060507,88.1919954288487,0.0103752584769901
3.4,108972,143147,81.247102212635,88.1918001087644,0.00822141515648571
3.44,108958,143137,81.9905126707309,88.1916078308778,0.00721351889779988
3.48,108966,143139,80.2903349827205,88.1914182047327,0.002685546875
3.52,108965,143145,81.2062389438295,88.1912455089151,0.0109998831309266
3.56,108971,143149,82.4829166830144,88.1910835973554,0.0234476703194199
3.6,108978,143152,81.2147558569913,88.1909315388571,0.0212065330695595
3.64,108984,143148,80.218692146477,88.1907813491842,0.0037025759004158
3.68,108972,143131,80.1696342165822,88.1906291584712,0.0309230871054556
3.72,108926,143078,80.9962053168617,88.1904866536115,0.00864547422345009
3.76,108874,143073,81.0927731201908,88.1903757754393,0.0741303570051562
3.8,108892,143046,80.8549557493524,87.6798131175985,0.050914296675163
3.84,108919,143110,82.1371329565283,87.2713284188499,0.0432018546112526
3.88,108951,143134,80.2751414699638,86.9444909534298,0.0402032231590238
3.92,108962,143143,80.752521109435,86.6829704408885,0.0258166445898459
3.96,108974,143155,79.6768321160201,86.4737112286068,0.0380444422889968
4,108978,143151,80.0107669821382,86.306261003714,0.0422906250974181
4.04,108977,143139,80.2112262161586,86.172259040641,0.0313794316661321
4.08,108975,143148,80.5763436409748,86.0650261282642,0.056601675387547
4.12,108975,143150,79.5691919090647,85.9792122057929,0.0230812979488252
4.16,108974,143171,79.3535129405178,85.9105415892778,0.011035048222646
4.2,108992,143164,78.9797672774729,85.8555722223802,0.0138817079842085
4.24,108996,143169,79.4799350197826,85.811558927817,0.0293476935551057
4.28,108982,143148,70.8915015844914,85.7763065575546,0.0359102560519356
4.32,108936,143115,74.0007634101632,85.8873067712072,0.0345482707472776
4.36,108920,143111,72.8309451379794,85.887890045841,0.0312452312645646
4.4,108929,143126,73.5878335332564,85.88834571697,0.0446830704634458
4.44,108942,143133,74.2567417944422,85.8886608331314,0.00174351279993722
4.48,108975,143163,73.7022670121638,85.8888510226793,0.0363605641562798
4.52,108990,143162,73.4848697652191,85.8889425835719,0.0192932891602835
4.56,108995,143185,74.1545927000398,85.9126111846051,0.0372424500257883
4.602,109004,143172,73.1947034835636,86.5392025075567,0.0324936405709066
4.642,108980,143170,74.7774459224424,87.5161846054145,0.0119279624026427
4.682,109006,143150,73.2807085375553,88.8787389556481,0.0258281858504652
4.722,108986,143150,73.6430778747822,89.991151826522,0.0429534885006729
4.762,108975,143205,72.2570062109595,90.4333338323472,0.0151170171683718
4.802,108941,143080,72.1069472976323,90.7870524251571,0.00968595430902216
4.842,108866,143044,71.7410888611821,91.0252329315179,0.00772040444377046
4.882,108850,143102,73.2464626974981,91.2158038259655,0.0114094935991679
4.922,108897,143112,71.9649963251312,91.3682703396916,0.0247245876976019
4.962,108930,143119,72.1964168709992,91.4902473450696,0.0089669764024448
5.002,108960,143159,72.040034384935,91.587823698831,0.0145299570472329
5.042,108987,143161,73.0523717389776,91.6658542185977,0.00681847658387155
5.082,108992,143176,71.3160488554775,91.7282546206939,0.00963350569186956
5.122,109008,143178,72.615862788208,91.8200600626278,0.00450834602358872
5.162,108997,143159,72.4785695102716,91.8934835849896,0.00687939590019794
5.202,108997,143135,71.0782876417434,91.9521916763481,0.00997696129965945
5.242,108986,143135,71.5289101860368,91.9991438682001,0.0155216614504417
5.282,108964,143107,71.3533165678884,92.0366917384328,0.0227155763699836
5.322,108963,143125,71.3763498231922,92.0667245057071,0.0116242732979662
5.362,108929,143104,71.8637898478206,92.0907448693924,0.004150390625
5.402,108877,143040,71.7360000294783,92.0214438426873,0.0447583747571433
5.442,108825,143052,72.4567459359542,92.1854932097291,0.0191444237501126
5.482,108861,143081,73.5706211293733,92.3167557133809,0.0112118774445362
5.522,108915,143134,74.0691317599239,92.4217833637163,0.0370040201116723
5.562,108950,143152,73.6129184183055,92.5058165685335,0.0387399709705565
5.602,108979,143183,72.4399028487838,92.5730116295448,0.0648665606351158
5.642,108999,143174,74.1093254963664,92.6267579612473,0.0103031971904342
5.682,109002,143155,73.3542431680914,92.6697269510801,0.0215729707366939
5.722,108979,143136,74.2404714842487,92.7040839454588,0.0408598348033701
5.762,108952,143130,74.9188216213583,92.7315656192431,0.0388360133303675
5.802,108962,143116,75.5581163908604,92.7535411044348,0.0161962971588105
5.842,108941,143133,75.5716844809254,92.7711297499463,0.0169954143398019
5.882,108954,143150,74.9604312087108,92.7852059609733,0.01220703125
5.922,108968,143166,75.8629866820607,92.7964654885903,0.0247703494791226
5.962,108978,143158,75.5688889195047,92.8054664798334,0.0362398778003039
6.002,108936,143123,75.6368361357063,92.8126662148737,0.0195236191147703
6.042,108910,143127,75.5630885150042,92.8184446768426,0.0253059736715819
6.082,108939,143154,75.3530538584149,92.8230868381576,0.0341255849711266
6.122,108958,143165,74.4494914416604,92.8268211588847,0.0313233468462057
6.162,108988,143176,74.0827454141789,92.8298215371153,0.0331627094904915
6.202,108989,143165,75.4132582135716,92.8322199966543,0.0243088553474495
6.242,108990,143141,76.1949205278711,92.8341181239239,0.0221980088827389
6.282,108950,143100,70.7390970330211,92.835620543809,0.0122021474605467
6.322,108956,143109,72.5937479935743,92.8368162448595,0.0168244601113477
6.362,108938,143131,73.1511564569644,92.8377823187501,0.015983288382161
6.402,108944,143152,71.8753083734613,92.8385681609506,0.0179588622378935
6.442,108969,143165,72.4484478184789,92.8392037561816,0.0127842065054551
6.482,108986,143174,71.4586998082939,92.8397123005353,0.0175916831393084
6.522,108994,143174,70.4232129129746,92.8401185732792,0.011466815005681
6.562,108963,143115,69.5079139798952,92.8404349566656,0.00917397179104294
6.602,108889,143086,71.2200008905334,92.840702171888,0.00965822287346313
6.642,108889,143113,70.8846745108284,92.8409405246239,0.011484993639003
6.682,108928,143126,69.8168566130798,92.8411474743622,0.0156973119196079
6.722,108955,143118,70.5715290197172,92.8413159784094,0.00627683600204221
6.762,108964,143117,70.6909424491835,92.8414473363575,0.00796362618666997
6.802,108956,143107,70.0525398195444,92.8415291657681,0.00349556178302645
6.842,108960,143127,70.7378718722289,92.8415920006623,0.0133386605269997
6.882,108926,143118,70.2741107685697,92.8416418912882,0.0108800195093541
6.922,108944,143136,69.5253074654883,92.8416853355993,0.00604956625652533
6.962,108960,143146,69.000205618184,92.8417218662334,0.00977172660946753
7.002,108975,143155,68.8925944512543,92.8417506763257,0.0176424333643942
7.042,108987,143181,67.5953599532204,92.8417794581957,0.00610839648593594
7.082,109003,143175,67.5553771604864,92.841803065135,0.00811928181070112
7.122,109007,143176,67.8494527051297,92.8418175220712,0.0126647581536552
7.162,108958,143104,70.4001600592675,92.8418216219441,0.0402484165614694
7.202,108881,143077,68.3213407746633,92.8418337899824,0.0137479572512706
7.242,108882,143066,68.9570267364718,92.8418581960374,0.0246122328294752
7.282,108928,143099,68.8108540944468,92.8418838197295,0.0243664085701538
7.322,108931,143103,69.3183876235281,92.8419112587943,0.0598343796527869
7.362,108951,143128,70.0309387297692,92.8419310946061,0.0191054663540174
7.402,108950,143167,68.843534332898,92.8419521960354,0.0103752584769901
7.442,108969,143159,70.507034978093,92.8419629102865,0.045312920930157
7.482,108971,143157,70.1968613057988,92.8419670343729,0.0333678702407615
7.522,108973,143174,71.40885862936,92.841974632464,0.0178506703226864
7.562,108986,143207,71.4727847116703,92.8004016167391,0.048869001444838
7.602,109008,143210,70.3020953824542,92.7047533579214,0.05769885466181
7.642,109021,143229,69.2705189234743,92.493805732592,0.0605852559172453
7.682,109045,143239,68.2187074550084,92.552409259158,0.114466810221981
7.722,109042,143223,67.7442495033233,92.5993002151117,0.0336214527967678
7.762,109048,143179,68.1006600341284,92.6831099746183,0.0555515155382918
7.802,108996,143127,72.3881745813728,92.7501248170666,0.0773220764002127
7.842,108922,143063,69.813838989103,92.8037391764335,0.0365347288904694
7.882,108915,143089,70.3625358048471,92.8466246157082,0.0186476137245394
7.922,108914,143130,71.7570288338324,92.8809154591711,0.0130837509833733
7.962,108947,143159,70.3124577612609,92.9083423001239,0.022761449259388
8.002,108969,143177,69.5856772412335,92.9302858850075,0.0279783451947252
8.042,108978,143171,68.8857507583702,92.9478371167134,0.010956448082186
8.082,108989,143187,67.923916031019,92.9618853990908,0.0252174930377435
8.122,108994,143195,68.9584775837235,92.9731291365555,0.0211544717015962
8.162,109012,143220,68.6007127982067,92.9821355983999,0.0277526795064476
8.202,109014,143211,68.6794317966323,92.989350029786,0.0125963313862446
8.242,109020,143208,68.98575526556,92.9951349319715,0.0166481710168284
8.282,109021,143195,70.0403403544397,92.9997672304808,0.0171472946168485
8.322,109021,143170,68.5613227010803,93.0034693596043,0.00884988718769134
8.362,108998,143148,75.6347499749868,93.006423888588,0.0206381877005938
8.402,108955,143082,72.3018307406541,93.0087699800567,0.0181962579045059
8.442,108867,143059,71.6263221879854,93.2154624599689,0.0157086991622514
8.482,108875,143090,70.6510384753957,92.9088598738671,0.0154620254234072
